,u,v,Distance_miles,TimeToCross_minutes,edge_id,lon_u,lat_u,isHighPriority_u,lon_v,lat_v,isHighPriority_v,heading_u,heading_v
6556,IA160854222,IA160963871,1.5230326821732232,1,6556,-93.6980663,41.5827186,0,-93.6937604,41.5863582,0,0.6123795598484717,0.612261738575344
6557,IA160854222,IA160854204,0.734401425604085,0,6557,-93.6980663,41.5827186,0,-93.693757,41.582845,0,0.6123795598484717,0.6095085164505346
6558,IA160854222,IA160734975,0.8995906507476443,1,6558,-93.6980663,41.5827186,0,-93.7033567,41.5826923,0,0.6123795598484717,0.615878428845933
6559,IA160854242,IA10626064091,0.024291607592999,0,6559,-93.7074451,41.5827414,0,-93.707437,41.5826343,0,0.6185449408827668,0.6184564901757341
6560,IA160854242,IA160879133,0.415976816012044,0,6560,-93.7074451,41.5827414,0,-93.707459,41.584578,0,0.6185449408827668,0.6199974612459243
6561,IA160854242,IA10626103553,0.1711475906699397,0,6561,-93.7074451,41.5827414,0,-93.7084403,41.5826846,0,0.6185449408827668,0.6191287401445237
6562,IA160854252,IA160918058,1.2119494885551114,1,6562,-93.713045,41.582663,0,-93.7130386,41.577311,0,0.6219588466855286,0.6178930780452209
6563,IA160854252,IA160879148,0.4365909106041503,0,6563,-93.713045,41.582663,0,-93.713045,41.584591,0,0.6219588466855286,0.623477319340623
6564,IA160854252,IA10626103553,0.7829155414786717,0,6564,-93.713045,41.582663,0,-93.7084403,41.5826846,0,0.6219588466855286,0.6191287401445237
6565,IA160854252,IA160854303,2.816748026425277,3,6565,-93.713045,41.582663,0,-93.727701,41.577374,0,0.6219588466855286,0.6263864913769198
6566,IA160854303,IA160944284,0.7814841242881713,0,6566,-93.727701,41.577374,0,-93.732297,41.577379,0,0.6263864913769198,0.6288653175965347
6567,IA160854303,IA160854312,1.6106555760938814,1,6567,-93.727701,41.577374,0,-93.731721,41.570963,0,0.6263864913769198,0.6239372900454033
6568,IA160854303,IA160854252,2.816748026425278,3,6568,-93.727701,41.577374,0,-93.713045,41.582663,0,0.6263864913769198,0.6219588466855286
6569,IA160854303,IA160918058,2.4932158871417096,2,6569,-93.727701,41.577374,0,-93.7130386,41.577311,0,0.6263864913769198,0.6178930780452209
6570,IA160854312,IA160854314,0.0213249946899627,0,6570,-93.731721,41.570963,0,-93.731769,41.570876,0,0.6239372900454033,0.6239019765569171
6571,IA160854312,IA160919648,0.2426455688962628,0,6571,-93.731721,41.570963,0,-93.7329463,41.5715121,0,0.6239372900454033,0.6249724872712568
6572,IA160854312,IA160854303,1.6106555760938814,1,6572,-93.731721,41.570963,0,-93.727701,41.577374,0,0.6239372900454033,0.6263864913769198
6573,IA160854314,IA160854312,0.0213249946899627,0,6573,-93.731769,41.570876,0,-93.731721,41.570963,0,0.6239019765569171,0.6239372900454033
