,Node,longitude,latitude,isHighPriority
417,IA4201258816,-92.6227423,41.2962122,False
418,IA4201258847,-92.6232621,41.2958831,False
419,IA4201325386,-92.664786,41.2962589,False
420,IA4201327301,-92.6652006,41.2965414,False
421,IA4201327306,-92.6656309,41.2962582,False
422,IA4201327347,-92.6653284,41.2965852,False
423,IA4201327349,-92.6652204,41.2962609,False
424,IA4209922742,-92.6319324,41.2808118,False
425,IA4209922764,-92.63177,41.2808228,True
426,IA4218415684,-92.6697023,41.2958626,False
427,IA4218421242,-92.6693117,41.2961277,False
428,IA4218421338,-92.667966,41.3040755,False
429,IA9595986771,-92.4639738,41.3251817,False
430,IA160004964,-92.7693125,41.694851,False
431,IA160005027,-92.7764571,41.6950116,False
432,IA160005037,-92.7807469,41.695265,False
433,IA160009150,-92.910227,41.682142,False
434,IA160009167,-92.903411,41.683729,False
435,IA160009187,-92.9029306,41.6840698,True
436,IA160018145,-92.8968215,41.6830214,False
437,IA160018168,-92.9029115,41.6837292,False
438,IA160020166,-92.7949076,41.692651,False
439,IA160020195,-92.7887734,41.695223,False
440,IA160020474,-92.7682841,41.6955079,False
441,IA160020490,-92.770828,41.6957964,False
442,IA160020514,-92.7746854,41.6956894,False
443,IA160020523,-92.7782009,41.695504,False
444,IA160025135,-92.80333,41.695382,False
445,IA160025170,-92.7958717,41.697251,False
446,IA160025183,-92.795416,41.697538,False
447,IA160025204,-92.795419,41.697112,False
448,IA160025219,-92.7889537,41.695467,False
449,IA160025249,-92.7954171,41.6973699,False
450,IA160033703,-92.8033667,41.695175,False
451,IA160041020,-92.9035504,41.714347,False
452,IA160049326,-92.9927601,41.6821785,False
453,IA160050974,-92.8950746,41.6829291,False
454,IA160050980,-92.902352,41.681315,False
455,IA160060311,-92.9029979,41.7138788,False
456,IA160063584,-92.9104857,41.681905,False
457,IA160064427,-92.902901,41.681573,False
458,IA160064504,-92.902907,41.683548,False
459,IA160081191,-92.7892012,41.734459,True
460,IA160081212,-92.784836,41.7351838,False
461,IA160081233,-92.785572,41.790513,False
462,IA160081289,-92.785631,41.819655,False
463,IA160081374,-92.7854295,41.848487,False
464,IA160081500,-92.7855745,41.753216,False
465,IA160081529,-92.7855607,41.7605041,False
466,IA160083842,-92.9029668,41.706135,False
467,IA160084072,-92.8376754,41.713592,False
468,IA160084157,-92.8050817,41.7173175,False
469,IA160085590,-92.922469,41.723104,False
470,IA160096056,-92.8345986,41.819571,False
471,IA160096154,-92.9029466,41.819793,False
472,IA160103417,-92.8420276,41.7352826,False
473,IA160108091,-92.9028325,41.7316781,True
474,IA160113612,-92.8246394,41.735156,False
475,IA160113751,-92.8297002,41.7605414,False
476,IA160129014,-92.9026684,41.7606989,False
477,IA160138939,-92.9225101,41.819749,False
478,IA160139726,-92.9029009,41.714362,False
479,IA160149567,-92.8342525,41.790583,False
480,IA160149989,-92.8344938,41.848596,False
481,IA160154367,-92.8340956,41.7605999,True
482,IA160454028,-92.7854817,41.8821426,False
483,IA160454576,-92.9068088,42.0436959,False
484,IA160454593,-92.908012,42.0442794,False
485,IA160454609,-92.9091062,42.0433338,False
486,IA160457475,-92.8536564,42.0421875,False
487,IA160457875,-92.8902304,42.0031975,False
